City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
thinadhoo,68,MV,1624386992,75,0.5333,72.9333,28.46,5.29
monterey,0,US,1624386994,50,36.2505,-121.2516,25.47,4.33
san luis,4,AR,1624386824,42,-33.295,-66.3356,16.1,3.43
nome,40,US,1624386996,63,64.5011,-165.4064,19.53,1.54
suluq,0,LY,1624386997,26,31.6682,20.2521,30.74,4.32
kavieng,11,PG,1624386999,76,-2.5744,150.7967,27.84,3.05
doume,39,CM,1624387001,96,4.2333,13.45,19.53,0.78
port hedland,55,AU,1624387002,87,-20.3167,118.5667,11.03,3.09
hami,100,CN,1624387004,18,42.8,93.45,29.12,5.37
vaini,75,TO,1624387005,100,-21.2,-175.2,21.09,2.57
zalantun,10,CN,1624386908,79,48.0,122.7167,15.64,1.97
airai,31,TL,1624387007,96,-8.9266,125.4092,14.91,0.48
krasnoselkup,100,RU,1624387009,95,65.7,82.4667,4.51,5.06
tuktoyaktuk,90,CA,1624387010,100,69.4541,-133.0374,3.0,7.72
kutum,77,SD,1624387011,26,14.2,24.6667,29.31,3.05
kampong cham,100,KH,1624387013,86,11.9934,105.4635,25.02,2.48
lorengau,45,PG,1624387015,81,-2.0226,147.2712,26.95,3.29
korla,82,CN,1624387016,32,41.7597,86.1469,22.49,0.92
bambous virieux,75,MU,1624387019,73,-20.3428,57.7575,21.14,3.09
nantucket,40,US,1624387020,83,41.2835,-70.0995,28.12,4.63
izumo,24,JP,1624387021,91,35.3667,132.7667,19.97,1.58
arraial do cabo,75,BR,1624387023,73,-22.9661,-42.0278,22.98,2.57
santa clara,75,CU,1624386767,62,22.4,-79.9667,32.0,2.57
rancho palos verdes,40,US,1624387025,60,33.7445,-118.387,22.22,6.69
kayunga,79,UG,1624387027,86,0.7025,32.8886,18.55,1.55
novyy urengoy,100,RU,1624387028,58,66.0833,76.6333,7.55,5.93
chastyye,40,RU,1624387029,73,57.2888,54.9728,21.65,2.8
biltine,100,TD,1624387031,23,14.5333,20.9167,33.39,2.97
peniche,51,PT,1624387032,80,39.3558,-9.3811,20.71,9.96
bambanglipuro,100,ID,1624387033,92,-7.95,110.2833,15.89,1.97
coquimbo,20,CL,1624387035,72,-29.9533,-71.3436,15.0,5.14
adrar,19,MR,1624387036,13,20.5022,-10.0711,37.21,5.42
jiexiu,2,CN,1624387037,49,37.0244,111.9125,23.26,1.63
stepnyak,100,KZ,1624387039,85,52.8339,70.7803,11.15,2.34
chilliwack,0,CA,1624387040,50,49.1747,-121.9443,28.53,2.24
kongwa,16,TZ,1624387041,78,-6.2,36.4167,16.34,2.21
solnechnyy,81,RU,1624387043,79,50.7214,136.6319,14.91,2.01
la ronge,100,CA,1624387044,41,55.1001,-105.2842,24.0,3.6
puerto ayora,20,EC,1624387046,61,-0.7393,-90.3518,28.0,8.23
esperance,100,AU,1624387047,78,-33.8667,121.9,10.91,14.24
mehamn,75,NO,1624387048,87,71.0357,27.8492,9.95,5.66
roald,20,NO,1624387050,67,62.5833,6.1333,18.03,3.6
fortuna,75,US,1624386895,84,40.5982,-124.1573,21.77,0.89
suntar,18,RU,1624387052,65,62.1444,117.6319,18.02,1.74
qasigiannguit,1,GL,1624387054,40,68.8193,-51.1922,11.0,4.63
isabela,100,PH,1624387055,85,6.7085,121.9711,25.03,1.99
wokha,100,IN,1624387058,99,26.1,94.2667,16.35,1.32
vao,62,NC,1624387060,67,-22.6667,167.4833,20.61,7.6
yakeshi,12,CN,1624386961,82,49.2833,120.7333,12.83,1.24
georgetown,20,MY,1624386938,79,5.4112,100.3354,27.16,0.45
hay river,75,CA,1624387063,82,60.8156,-115.7999,11.98,4.63
salvador,81,SV,1624387065,67,13.8333,-88.9167,26.14,1.73
naples,0,IT,1624387067,45,40.8333,14.25,30.0,1.03
catamarca,66,AR,1624387068,66,-28.4696,-65.7852,21.38,3.58
port hawkesbury,90,CA,1624387070,99,45.6169,-61.3485,23.16,2.24
lakota,100,CI,1624387071,97,5.8528,-5.6883,22.13,1.33
saskylakh,98,RU,1624387073,72,71.9167,114.0833,9.1,6.61
basse-pointe,99,MQ,1624387074,31,14.8695,-61.115,31.52,7.52
palafrugell,3,ES,1624387075,79,41.9174,3.1631,24.52,0.89
kuching,20,MY,1624387078,89,1.55,110.3333,26.12,0.0
chiriguana,99,CO,1624387079,69,9.3624,-73.6031,30.29,2.38
gimli,100,CA,1624387081,63,50.6336,-96.9907,24.68,4.12
craigieburn,90,AU,1624387082,66,-37.6,144.95,13.39,11.83
mahebourg,75,MU,1624387083,73,-20.4081,57.7,21.16,3.09
